Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,vietnam
2020-01-23,0,0,2,vietnam
2020-01-24,0,0,2,vietnam
2020-01-25,0,0,2,vietnam
2020-01-26,0,0,2,vietnam
2020-01-27,0,0,2,vietnam
2020-01-28,0,0,2,vietnam
2020-01-29,0,0,2,vietnam
2020-01-30,0,0,2,vietnam
2020-01-31,0,0,2,vietnam
2020-02-01,1,0,6,vietnam
2020-02-02,1,0,6,vietnam
2020-02-03,1,0,8,vietnam
2020-02-04,1,0,8,vietnam
2020-02-05,1,0,8,vietnam
2020-02-06,1,0,10,vietnam
2020-02-07,1,0,10,vietnam
2020-02-08,1,0,13,vietnam
2020-02-09,1,0,13,vietnam
2020-02-10,1,0,14,vietnam
2020-02-11,6,0,15,vietnam
2020-02-12,6,0,15,vietnam
2020-02-13,7,0,16,vietnam
2020-02-14,7,0,16,vietnam
2020-02-15,7,0,16,vietnam
2020-02-16,7,0,16,vietnam
2020-02-17,7,0,16,vietnam
2020-02-18,7,0,16,vietnam
2020-02-19,7,0,16,vietnam
2020-02-20,7,0,16,vietnam
2020-02-21,14,0,16,vietnam
2020-02-22,14,0,16,vietnam
2020-02-23,14,0,16,vietnam
2020-02-24,14,0,16,vietnam
2020-02-25,16,0,16,vietnam
2020-02-26,16,0,16,vietnam
2020-02-27,16,0,16,vietnam
2020-02-28,16,0,16,vietnam
2020-02-29,16,0,16,vietnam
2020-03-01,16,0,16,vietnam
2020-03-02,16,0,16,vietnam
2020-03-03,16,0,16,vietnam
2020-03-04,16,0,16,vietnam
2020-03-05,16,0,16,vietnam
2020-03-06,16,0,16,vietnam
2020-03-07,16,0,18,vietnam
2020-03-08,16,0,30,vietnam
2020-03-09,16,0,30,vietnam
2020-03-10,16,0,31,vietnam
2020-03-11,16,0,38,vietnam
2020-03-12,16,0,39,vietnam
2020-03-13,16,0,47,vietnam
2020-03-14,16,0,53,vietnam
2020-03-15,16,0,56,vietnam
2020-03-16,16,0,61,vietnam
2020-03-17,16,0,66,vietnam
2020-03-18,16,0,75,vietnam
2020-03-19,16,0,85,vietnam
2020-03-20,16,0,91,vietnam
2020-03-21,17,0,94,vietnam
2020-03-22,17,0,113,vietnam
2020-03-23,17,0,123,vietnam
2020-03-24,17,0,134,vietnam
2020-03-25,17,0,141,vietnam
2020-03-26,20,0,153,vietnam
2020-03-27,20,0,163,vietnam
2020-03-28,21,0,174,vietnam
2020-03-29,25,0,188,vietnam
2020-03-30,55,0,203,vietnam
2020-03-31,58,0,212,vietnam
2020-04-01,63,0,218,vietnam
2020-04-02,75,0,233,vietnam
2020-04-03,85,0,237,vietnam
2020-04-04,90,0,240,vietnam
2020-04-05,90,0,241,vietnam
2020-04-06,95,0,245,vietnam
2020-04-07,123,0,249,vietnam
2020-04-08,126,0,251,vietnam
2020-04-09,128,0,255,vietnam
2020-04-10,144,0,257,vietnam
2020-04-11,144,0,258,vietnam
2020-04-12,144,0,262,vietnam
2020-04-13,144,0,262,vietnam
