Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,uzbekistan
2020-01-23,0,0,0,uzbekistan
2020-01-24,0,0,0,uzbekistan
2020-01-25,0,0,0,uzbekistan
2020-01-26,0,0,0,uzbekistan
2020-01-27,0,0,0,uzbekistan
2020-01-28,0,0,0,uzbekistan
2020-01-29,0,0,0,uzbekistan
2020-01-30,0,0,0,uzbekistan
2020-01-31,0,0,0,uzbekistan
2020-02-01,0,0,0,uzbekistan
2020-02-02,0,0,0,uzbekistan
2020-02-03,0,0,0,uzbekistan
2020-02-04,0,0,0,uzbekistan
2020-02-05,0,0,0,uzbekistan
2020-02-06,0,0,0,uzbekistan
2020-02-07,0,0,0,uzbekistan
2020-02-08,0,0,0,uzbekistan
2020-02-09,0,0,0,uzbekistan
2020-02-10,0,0,0,uzbekistan
2020-02-11,0,0,0,uzbekistan
2020-02-12,0,0,0,uzbekistan
2020-02-13,0,0,0,uzbekistan
2020-02-14,0,0,0,uzbekistan
2020-02-15,0,0,0,uzbekistan
2020-02-16,0,0,0,uzbekistan
2020-02-17,0,0,0,uzbekistan
2020-02-18,0,0,0,uzbekistan
2020-02-19,0,0,0,uzbekistan
2020-02-20,0,0,0,uzbekistan
2020-02-21,0,0,0,uzbekistan
2020-02-22,0,0,0,uzbekistan
2020-02-23,0,0,0,uzbekistan
2020-02-24,0,0,0,uzbekistan
2020-02-25,0,0,0,uzbekistan
2020-02-26,0,0,0,uzbekistan
2020-02-27,0,0,0,uzbekistan
2020-02-28,0,0,0,uzbekistan
2020-02-29,0,0,0,uzbekistan
2020-03-01,0,0,0,uzbekistan
2020-03-02,0,0,0,uzbekistan
2020-03-03,0,0,0,uzbekistan
2020-03-04,0,0,0,uzbekistan
2020-03-05,0,0,0,uzbekistan
2020-03-06,0,0,0,uzbekistan
2020-03-07,0,0,0,uzbekistan
2020-03-08,0,0,0,uzbekistan
2020-03-09,0,0,0,uzbekistan
2020-03-10,0,0,0,uzbekistan
2020-03-11,0,0,0,uzbekistan
2020-03-12,0,0,0,uzbekistan
2020-03-13,0,0,0,uzbekistan
2020-03-14,0,0,0,uzbekistan
2020-03-15,0,0,1,uzbekistan
2020-03-16,0,0,6,uzbekistan
2020-03-17,0,0,10,uzbekistan
2020-03-18,0,0,15,uzbekistan
2020-03-19,0,0,23,uzbekistan
2020-03-20,0,0,33,uzbekistan
2020-03-21,0,0,43,uzbekistan
2020-03-22,0,0,43,uzbekistan
2020-03-23,0,0,46,uzbekistan
2020-03-24,0,0,50,uzbekistan
2020-03-25,0,0,60,uzbekistan
2020-03-26,0,0,75,uzbekistan
2020-03-27,5,1,88,uzbekistan
2020-03-28,5,2,104,uzbekistan
2020-03-29,7,2,144,uzbekistan
2020-03-30,7,2,149,uzbekistan
2020-03-31,7,2,172,uzbekistan
2020-04-01,12,2,181,uzbekistan
2020-04-02,25,2,205,uzbekistan
2020-04-03,25,2,227,uzbekistan
2020-04-04,25,2,266,uzbekistan
2020-04-05,30,2,342,uzbekistan
2020-04-06,30,2,457,uzbekistan
2020-04-07,30,2,520,uzbekistan
2020-04-08,30,3,545,uzbekistan
2020-04-09,38,3,582,uzbekistan
2020-04-10,42,3,624,uzbekistan
2020-04-11,42,4,767,uzbekistan
2020-04-12,66,4,865,uzbekistan
2020-04-13,66,4,865,uzbekistan
