Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,denmark
2020-01-23,0,0,0,denmark
2020-01-24,0,0,0,denmark
2020-01-25,0,0,0,denmark
2020-01-26,0,0,0,denmark
2020-01-27,0,0,0,denmark
2020-01-28,0,0,0,denmark
2020-01-29,0,0,0,denmark
2020-01-30,0,0,0,denmark
2020-01-31,0,0,0,denmark
2020-02-01,0,0,0,denmark
2020-02-02,0,0,0,denmark
2020-02-03,0,0,0,denmark
2020-02-04,0,0,0,denmark
2020-02-05,0,0,0,denmark
2020-02-06,0,0,0,denmark
2020-02-07,0,0,0,denmark
2020-02-08,0,0,0,denmark
2020-02-09,0,0,0,denmark
2020-02-10,0,0,0,denmark
2020-02-11,0,0,0,denmark
2020-02-12,0,0,0,denmark
2020-02-13,0,0,0,denmark
2020-02-14,0,0,0,denmark
2020-02-15,0,0,0,denmark
2020-02-16,0,0,0,denmark
2020-02-17,0,0,0,denmark
2020-02-18,0,0,0,denmark
2020-02-19,0,0,0,denmark
2020-02-20,0,0,0,denmark
2020-02-21,0,0,0,denmark
2020-02-22,0,0,0,denmark
2020-02-23,0,0,0,denmark
2020-02-24,0,0,0,denmark
2020-02-25,0,0,0,denmark
2020-02-26,0,0,0,denmark
2020-02-27,0,0,1,denmark
2020-02-28,0,0,1,denmark
2020-02-29,0,0,3,denmark
2020-03-01,0,0,4,denmark
2020-03-02,0,0,4,denmark
2020-03-03,0,0,6,denmark
2020-03-04,0,0,11,denmark
2020-03-05,0,0,11,denmark
2020-03-06,1,0,24,denmark
2020-03-07,1,0,24,denmark
2020-03-08,1,0,37,denmark
2020-03-09,1,0,92,denmark
2020-03-10,1,0,264,denmark
2020-03-11,1,0,444,denmark
2020-03-12,1,0,617,denmark
2020-03-13,1,0,804,denmark
2020-03-14,1,1,836,denmark
2020-03-15,1,2,875,denmark
2020-03-16,1,3,933,denmark
2020-03-17,1,4,1025,denmark
2020-03-18,1,4,1116,denmark
2020-03-19,1,6,1225,denmark
2020-03-20,1,9,1337,denmark
2020-03-21,1,13,1420,denmark
2020-03-22,1,13,1514,denmark
2020-03-23,1,24,1572,denmark
2020-03-24,36,32,1718,denmark
2020-03-25,41,34,1862,denmark
2020-03-26,50,41,2023,denmark
2020-03-27,57,52,2200,denmark
2020-03-28,57,65,2366,denmark
2020-03-29,73,72,2564,denmark
2020-03-30,73,77,2755,denmark
2020-03-31,77,90,3039,denmark
2020-04-01,971,104,3290,denmark
2020-04-02,1172,123,3573,denmark
2020-04-03,1287,139,3946,denmark
2020-04-04,1379,161,4269,denmark
2020-04-05,1429,179,4561,denmark
2020-04-06,1489,187,4875,denmark
2020-04-07,1621,203,5266,denmark
2020-04-08,1763,218,5597,denmark
2020-04-09,1883,237,5830,denmark
2020-04-10,1929,247,6014,denmark
2020-04-11,2111,260,6191,denmark
2020-04-12,2291,273,6369,denmark
2020-04-13,157,0,184,denmark
