Date,deaths,confirmed,recovered,country
2020-01-22,0,0,0,germany
2020-01-23,0,0,0,germany
2020-01-24,0,0,0,germany
2020-01-25,0,0,0,germany
2020-01-26,0,0,0,germany
2020-01-27,0,1,0,germany
2020-01-28,0,4,0,germany
2020-01-29,0,4,0,germany
2020-01-30,0,4,0,germany
2020-01-31,0,5,0,germany
2020-02-01,0,8,0,germany
2020-02-02,0,10,0,germany
2020-02-03,0,12,0,germany
2020-02-04,0,12,0,germany
2020-02-05,0,12,0,germany
2020-02-06,0,12,0,germany
2020-02-07,0,13,0,germany
2020-02-08,0,13,0,germany
2020-02-09,0,14,0,germany
2020-02-10,0,14,0,germany
2020-02-11,0,16,0,germany
2020-02-12,0,16,0,germany
2020-02-13,0,16,1,germany
2020-02-14,0,16,1,germany
2020-02-15,0,16,1,germany
2020-02-16,0,16,1,germany
2020-02-17,0,16,1,germany
2020-02-18,0,16,12,germany
2020-02-19,0,16,12,germany
2020-02-20,0,16,12,germany
2020-02-21,0,16,14,germany
2020-02-22,0,16,14,germany
2020-02-23,0,16,14,germany
2020-02-24,0,16,14,germany
2020-02-25,0,17,14,germany
2020-02-26,0,27,15,germany
2020-02-27,0,46,16,germany
2020-02-28,0,48,16,germany
2020-02-29,0,79,16,germany
2020-03-01,0,130,16,germany
2020-03-02,0,159,16,germany
2020-03-03,0,196,16,germany
2020-03-04,0,262,16,germany
2020-03-05,0,482,16,germany
2020-03-06,0,670,17,germany
2020-03-07,0,799,18,germany
2020-03-08,0,1040,18,germany
2020-03-09,2,1176,18,germany
2020-03-10,2,1457,18,germany
2020-03-11,3,1908,25,germany
2020-03-12,3,2078,25,germany
2020-03-13,7,3675,46,germany
2020-03-14,9,4585,46,germany
2020-03-15,11,5795,46,germany
2020-03-16,17,7272,67,germany
2020-03-17,24,9257,67,germany
2020-03-18,28,12327,105,germany
2020-03-19,44,15320,113,germany
2020-03-20,67,19848,180,germany
2020-03-21,84,22213,233,germany
2020-03-22,94,24873,266,germany
2020-03-23,123,29056,266,germany
2020-03-24,157,32986,3243,germany
2020-03-25,206,37323,3547,germany
2020-03-26,267,43938,5673,germany
2020-03-27,342,50871,6658,germany
2020-03-28,433,57695,8481,germany
2020-03-29,533,62095,9211,germany
2020-03-30,645,66885,13500,germany
2020-03-31,775,71808,16100,germany
2020-04-01,920,77872,18700,germany
2020-04-02,1107,84794,22440,germany
2020-04-03,1275,91159,24575,germany
2020-04-04,1444,96092,26400,germany
2020-04-05,1584,100123,28700,germany
2020-04-06,1810,103374,28700,germany
2020-04-07,2016,107663,36081,germany
2020-04-08,2349,113296,46300,germany
2020-04-09,2607,118181,52407,germany
2020-04-10,2767,122171,53913,germany
