Date,deaths,recovered,confirmed,country
2020-01-22,0,0,0,ukraine
2020-01-23,0,0,0,ukraine
2020-01-24,0,0,0,ukraine
2020-01-25,0,0,0,ukraine
2020-01-26,0,0,0,ukraine
2020-01-27,0,0,0,ukraine
2020-01-28,0,0,0,ukraine
2020-01-29,0,0,0,ukraine
2020-01-30,0,0,0,ukraine
2020-01-31,0,0,0,ukraine
2020-02-01,0,0,0,ukraine
2020-02-02,0,0,0,ukraine
2020-02-03,0,0,0,ukraine
2020-02-04,0,0,0,ukraine
2020-02-05,0,0,0,ukraine
2020-02-06,0,0,0,ukraine
2020-02-07,0,0,0,ukraine
2020-02-08,0,0,0,ukraine
2020-02-09,0,0,0,ukraine
2020-02-10,0,0,0,ukraine
2020-02-11,0,0,0,ukraine
2020-02-12,0,0,0,ukraine
2020-02-13,0,0,0,ukraine
2020-02-14,0,0,0,ukraine
2020-02-15,0,0,0,ukraine
2020-02-16,0,0,0,ukraine
2020-02-17,0,0,0,ukraine
2020-02-18,0,0,0,ukraine
2020-02-19,0,0,0,ukraine
2020-02-20,0,0,0,ukraine
2020-02-21,0,0,0,ukraine
2020-02-22,0,0,0,ukraine
2020-02-23,0,0,0,ukraine
2020-02-24,0,0,0,ukraine
2020-02-25,0,0,0,ukraine
2020-02-26,0,0,0,ukraine
2020-02-27,0,0,0,ukraine
2020-02-28,0,0,0,ukraine
2020-02-29,0,0,0,ukraine
2020-03-01,0,0,0,ukraine
2020-03-02,0,0,0,ukraine
2020-03-03,0,0,1,ukraine
2020-03-04,0,0,1,ukraine
2020-03-05,0,0,1,ukraine
2020-03-06,0,0,1,ukraine
2020-03-07,0,0,1,ukraine
2020-03-08,0,0,1,ukraine
2020-03-09,0,0,1,ukraine
2020-03-10,0,0,1,ukraine
2020-03-11,0,0,1,ukraine
2020-03-12,0,0,1,ukraine
2020-03-13,1,0,3,ukraine
2020-03-14,1,0,3,ukraine
2020-03-15,1,0,3,ukraine
2020-03-16,1,0,7,ukraine
2020-03-17,2,0,14,ukraine
2020-03-18,2,0,14,ukraine
2020-03-19,2,0,16,ukraine
2020-03-20,3,0,29,ukraine
2020-03-21,3,1,47,ukraine
2020-03-22,3,1,73,ukraine
2020-03-23,3,1,73,ukraine
2020-03-24,3,1,97,ukraine
2020-03-25,5,1,145,ukraine
2020-03-26,5,1,196,ukraine
2020-03-27,5,5,310,ukraine
2020-03-28,9,5,356,ukraine
2020-03-29,10,6,475,ukraine
2020-03-30,13,8,548,ukraine
2020-03-31,17,10,645,ukraine
2020-04-01,20,13,794,ukraine
2020-04-02,22,19,897,ukraine
2020-04-03,27,22,1072,ukraine
2020-04-04,32,25,1225,ukraine
2020-04-05,37,28,1308,ukraine
2020-04-06,38,28,1319,ukraine
2020-04-07,45,28,1462,ukraine
2020-04-08,52,35,1668,ukraine
2020-04-09,57,45,1892,ukraine
2020-04-10,69,61,2203,ukraine
2020-04-11,73,79,2511,ukraine
2020-04-12,83,89,2777,ukraine
2020-04-13,83,89,2777,ukraine
