Date,recovered,deaths,confirmed,country
2020-01-22,0,0,0,sweden
2020-01-23,0,0,0,sweden
2020-01-24,0,0,0,sweden
2020-01-25,0,0,0,sweden
2020-01-26,0,0,0,sweden
2020-01-27,0,0,0,sweden
2020-01-28,0,0,0,sweden
2020-01-29,0,0,0,sweden
2020-01-30,0,0,0,sweden
2020-01-31,0,0,1,sweden
2020-02-01,0,0,1,sweden
2020-02-02,0,0,1,sweden
2020-02-03,0,0,1,sweden
2020-02-04,0,0,1,sweden
2020-02-05,0,0,1,sweden
2020-02-06,0,0,1,sweden
2020-02-07,0,0,1,sweden
2020-02-08,0,0,1,sweden
2020-02-09,0,0,1,sweden
2020-02-10,0,0,1,sweden
2020-02-11,0,0,1,sweden
2020-02-12,0,0,1,sweden
2020-02-13,0,0,1,sweden
2020-02-14,0,0,1,sweden
2020-02-15,0,0,1,sweden
2020-02-16,0,0,1,sweden
2020-02-17,0,0,1,sweden
2020-02-18,0,0,1,sweden
2020-02-19,0,0,1,sweden
2020-02-20,0,0,1,sweden
2020-02-21,0,0,1,sweden
2020-02-22,0,0,1,sweden
2020-02-23,0,0,1,sweden
2020-02-24,0,0,1,sweden
2020-02-25,0,0,1,sweden
2020-02-26,0,0,2,sweden
2020-02-27,0,0,7,sweden
2020-02-28,0,0,7,sweden
2020-02-29,0,0,12,sweden
2020-03-01,0,0,14,sweden
2020-03-02,0,0,15,sweden
2020-03-03,0,0,21,sweden
2020-03-04,0,0,35,sweden
2020-03-05,0,0,94,sweden
2020-03-06,0,0,101,sweden
2020-03-07,0,0,161,sweden
2020-03-08,0,0,203,sweden
2020-03-09,1,0,248,sweden
2020-03-10,1,0,355,sweden
2020-03-11,1,1,500,sweden
2020-03-12,1,1,599,sweden
2020-03-13,1,1,814,sweden
2020-03-14,1,2,961,sweden
2020-03-15,1,3,1022,sweden
2020-03-16,1,6,1103,sweden
2020-03-17,1,7,1190,sweden
2020-03-18,1,10,1279,sweden
2020-03-19,16,11,1439,sweden
2020-03-20,16,16,1639,sweden
2020-03-21,16,20,1763,sweden
2020-03-22,16,21,1934,sweden
2020-03-23,16,25,2046,sweden
2020-03-24,16,36,2286,sweden
2020-03-25,16,62,2526,sweden
2020-03-26,16,77,2840,sweden
2020-03-27,16,105,3069,sweden
2020-03-28,16,105,3447,sweden
2020-03-29,16,110,3700,sweden
2020-03-30,16,146,4028,sweden
2020-03-31,16,180,4435,sweden
2020-04-01,103,239,4947,sweden
2020-04-02,103,308,5568,sweden
2020-04-03,205,358,6131,sweden
2020-04-04,205,373,6443,sweden
2020-04-05,205,401,6830,sweden
2020-04-06,205,477,7206,sweden
2020-04-07,205,591,7693,sweden
2020-04-08,205,687,8419,sweden
2020-04-09,205,793,9141,sweden
2020-04-10,381,870,9685,sweden
2020-04-11,381,887,10151,sweden
2020-04-12,381,899,10483,sweden
2020-04-13,381,899,10483,sweden
